fecha,salido_de,ingresado_a,provincia_origen,provincia_origen_id,departamento_origen,departamento_origen_id,provincia_destino,provincia_destino_id,departamento_destino,departamento_destino_id,colmenas,nucleos,paquetes,reinas,envio_abeja_reina_ob_acomp
2013-01,Establecimiento,Establecimiento,Buenos Aires,06,Almirante Brown,06028,Buenos Aires,06,General Pueyrredón,06357,41,0,0,0,0
2013-01,Establecimiento,Establecimiento,Buenos Aires,06,Almirante Brown,06028,Mendoza,50,Guaymallén,50028,56,0,0,0,0
2013-01,Establecimiento,Establecimiento,Buenos Aires,06,Almirante Brown,06028,Mendoza,50,Las Heras,50049,30,0,0,0,0
2013-01,Establecimiento,Establecimiento,Buenos Aires,06,Almirante Brown,06028,Mendoza,50,Maipú,50070,15,0,0,0,0
2013-01,Establecimiento,Establecimiento,Buenos Aires,06,Bahía Blanca,06056,Buenos Aires,06,Patagones,06602,370,0,0,0,0
2013-01,Establecimiento,Establecimiento,Buenos Aires,06,Bahía Blanca,06056,Buenos Aires,06,Villarino,06875,125,0,0,0,0
2013-01,Establecimiento,Establecimiento,Buenos Aires,06,Coronel Pringles,06196,Río Negro,62,Adolfo Alsina,62007,10,0,0,0,0
2013-01,Establecimiento,Establecimiento,Buenos Aires,06,Coronel Suárez,06203,Buenos Aires,06,Villarino,06875,460,0,0,0,0
2013-01,Establecimiento,Establecimiento,Buenos Aires,06,Florentino Ameghino,06277,La Rioja,46,General Belgrano,46063,60,0,0,0,0
2013-01,Establecimiento,Establecimiento,Buenos Aires,06,General Villegas,06392,San Luis,74,Ayacucho,74007,0,60,0,0,0
2013-01,Establecimiento,Establecimiento,Buenos Aires,06,Lobería,06476,Buenos Aires,06,Patagones,06602,100,0,0,0,0
2013-01,Establecimiento,Establecimiento,Buenos Aires,06,Mercedes,06532,Entre Ríos,30,Islas del Ibicuy,30063,100,0,0,0,0
2013-01,Establecimiento,Establecimiento,Buenos Aires,06,Patagones,06602,Buenos Aires,06,Lobería,06476,120,0,0,0,0
2013-01,Establecimiento,Establecimiento,Buenos Aires,06,Patagones,06602,Buenos Aires,06,Patagones,06602,621,0,0,0,0
2013-01,Establecimiento,Establecimiento,Buenos Aires,06,Patagones,06602,Buenos Aires,06,Villarino,06875,119,0,0,0,0
2013-01,Establecimiento,Establecimiento,Buenos Aires,06,Pellegrini,06616,Entre Ríos,30,Federación,30028,100,0,0,0,0
2013-01,Establecimiento,Establecimiento,Buenos Aires,06,Puán,06651,Buenos Aires,06,Puán,06651,100,0,0,0,0
