actividad_detalle,actividad_sector_letra,actividad_sector_detalle,anio,valor_precios_corrientes,valor_precios_constantes
Productores de Bienes,A,"Agricultura, ganadería, caza y silvicultura",2004,12525.6065,12525.6065
Productores de Bienes,B,Pesca y servicios conexos,2004,442.2173,442.2173
Productores de Bienes,C,Explotación de minas y canteras,2004,320.5063,320.5063
Productores de Bienes,D,Industria Manufacturera,2004,45880.4126,45880.4126
Productores de Bienes,E,"Electricidad, gas y agua",2004,2954.4474,2954.4474
Productores de Bienes,F,Construcción,2004,4689.9157,4689.9157
Productores de Servicios,G,"Comercio al por mayor, al por menor, reparaciones",2004,21823.8298,21823.8298
Productores de Servicios,H,Servicios de hotelería y restaurantes,2004,1781.6308,1781.6308
Productores de Servicios,I,"Servicio de transporte, de almacenamiento y de comunicaciones",2004,12054.4353,12054.4353
Productores de Servicios,J,Intermediación financiera y otros servicios financieros,2004,2805.2056,2805.2056
Productores de Servicios,K,"Servicios inmobiliarios, empresariales y de alquiler",2004,16981.6985,16981.6985
Productores de Servicios,L,"Administración pública, defensa y seguridad social obligatoria",2004,5304.9525,5304.9525
Productores de Servicios,M,Enseñanza,2004,6491.4104,6491.4104
Productores de Servicios,N,Servicios sociales y de salud,2004,4175.7792,4175.7792
Productores de Servicios,O,"Otros servicios comunitarios, sociales y personales",2004,3674.3281,3674.3281
Productores de Servicios,P,Servicios de los hogares privados que contratan servicio doméstico,2004,1223.2018,1223.2018
Impuestos,,IVA y otros impuestos a los productos,2004,26461.6680,26461.6680
Productores de Bienes,A,"Agricultura, ganadería, caza y silvicultura",2005,13291.7982,14588.2556
Productores de Bienes,B,Pesca y servicios conexos,2005,687.4143,549.2430
Productores de Bienes,C,Explotación de minas y canteras,2005,439.3301,370.2033
Productores de Bienes,D,Industria Manufacturera,2005,56054.7673,51018.2240
Productores de Bienes,E,"Electricidad, gas y agua",2005,4494.5754,3057.2086
Productores de Bienes,F,Construcción,2005,7081.8261,5860.2577
Productores de Servicios,G,"Comercio al por mayor, al por menor, reparaciones",2005,25779.9213,23857.0775
Productores de Servicios,H,Servicios de hotelería y restaurantes,2005,2417.4951,2046.9487
Productores de Servicios,I,"Servicio de transporte, de almacenamiento y de comunicaciones",2005,14602.2116,13775.9955
Productores de Servicios,J,Intermediación financiera y otros servicios financieros,2005,3852.0985,3084.3441
Productores de Servicios,K,"Servicios inmobiliarios, empresariales y de alquiler",2005,20452.4272,17848.0222
Productores de Servicios,L,"Administración pública, defensa y seguridad social obligatoria",2005,7112.9714,5591.7304
Productores de Servicios,M,Enseñanza,2005,9233.0425,6697.0446
Productores de Servicios,N,Servicios sociales y de salud,2005,5000.1417,4351.9392
Productores de Servicios,O,"Otros servicios comunitarios, sociales y personales",2005,4375.2511,3813.6749
Productores de Servicios,P,Servicios de los hogares privados que contratan servicio doméstico,2005,1410.9062,1294.0799
Impuestos,,IVA y otros impuestos a los productos,2005,32494.3784,28405.1042
Productores de Bienes,A,"Agricultura, ganadería, caza y silvicultura",2006,14393.1323,14380.6269
Productores de Bienes,B,Pesca y servicios conexos,2006,689.8911,573.9136
Productores de Bienes,C,Explotación de minas y canteras,2006,545.5312,404.7677
Productores de Bienes,D,Industria Manufacturera,2006,67176.8305,56211.5150
Productores de Bienes,E,"Electricidad, gas y agua",2006,5190.3235,3184.9679
Productores de Bienes,F,Construcción,2006,10921.9274,7036.3629
Productores de Servicios,G,"Comercio al por mayor, al por menor, reparaciones",2006,31171.1802,25860.7288
Productores de Servicios,H,Servicios de hotelería y restaurantes,2006,3160.9246,2303.9128
Productores de Servicios,I,"Servicio de transporte, de almacenamiento y de comunicaciones",2006,17853.0872,15396.2831
Productores de Servicios,J,Intermediación financiera y otros servicios financieros,2006,4849.0601,3489.2890
Productores de Servicios,K,"Servicios inmobiliarios, empresariales y de alquiler",2006,25152.2016,18763.9954
Productores de Servicios,L,"Administración pública, defensa y seguridad social obligatoria",2006,8753.5807,5680.2094
Productores de Servicios,M,Enseñanza,2006,11909.6255,6815.4547
Productores de Servicios,N,Servicios sociales y de salud,2006,6726.1196,4527.2721
Productores de Servicios,O,"Otros servicios comunitarios, sociales y personales",2006,5211.5253,3874.7030
Productores de Servicios,P,Servicios de los hogares privados que contratan servicio doméstico,2006,1746.6552,1419.5989
Impuestos,,IVA y otros impuestos a los productos,2006,40827.0236,31791.8123
Productores de Bienes,A,"Agricultura, ganadería, caza y silvicultura",2007,20014.5495,15204.5053
Productores de Bienes,B,Pesca y servicios conexos,2007,675.5769,554.2102
Productores de Bienes,C,Explotación de minas y canteras,2007,638.0958,423.8766
