Cultivo,Campaña,Semana,Zona,Siembra,CC_Mala (%),CC_Regular (%),CC_Normal (%),CC_Buena (%),CC_Excelente (%),CH_Sequía (%),CH_Regular_1 (%),CH_Adecuada (%),CH_Óptima (%),CH_Exceso (%),Macollaje (%),Encañazón (%),Espigazón (%),Grano Pastoso (%),Madurez Fisiológica (%),Cosecha (%)
Trigo,2017/18,1,II,100,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100
Trigo,2017/18,1,III,100,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100
Trigo,2017/18,1,IV,100,0,0,50,50,0,0,50,50,0,0,100,100,100,100,100,100
Trigo,2017/18,1,V,100,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100
Trigo,2017/18,1,VI,100,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100
Trigo,2017/18,1,VII,100,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100
Trigo,2017/18,1,IX,100,0,20,80,0,0,0,0,35,65,0,100,100,100,100,100,97
Trigo,2017/18,1,X,100,0,30,70,0,0,0,20,60,20,0,100,100,100,100,95,92
Trigo,2017/18,1,XI,100,0,20,60,20,0,0,70,30,0,0,100,100,100,100,80,72
Trigo,2017/18,1,XII,100,0,14,14,71,0,0,0,100,0,0,100,100,100,90,70,56
Trigo,2017/18,19,TOTAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trigo,2017/18,1,I,100,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100
Trigo,2017/18,2,II,100,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100
Trigo,2017/18,2,III,100,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100
Trigo,2017/18,2,IV,100,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100
Trigo,2017/18,2,V,100,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100
Trigo,2017/18,2,VI,100,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100
Trigo,2017/18,2,VII,100,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100
Trigo,2017/18,2,IX,100,0,20,70,10,0,0,15,50,35,0,100,100,100,100,100,100
Trigo,2017/18,2,X,100,0,23,62,15,0,0,20,75,5,0,100,100,100,100,100,100
Trigo,2017/18,2,XI,100,0,30,55,15,0,0,55,40,5,0,100,100,100,100,98,95
Trigo,2017/18,2,XII,100,0,8,25,67,0,0,30,60,10,0,100,100,100,100,95,90
Trigo,2017/18,20,TOTAL,3,0,20,40,30,10,0,0,54,40,6,0,0,0,0,0,0
Trigo,2017/18,2,I,100,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100
Trigo,2017/18,3,II,100,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100
Trigo,2017/18,3,III,100,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100
Trigo,2017/18,3,IV,100,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100
Trigo,2017/18,3,V,100,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100
Trigo,2017/18,3,VI,100,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100
Trigo,2017/18,3,VII,100,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100
Trigo,2017/18,3,IX,100,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100
Trigo,2017/18,3,X,100,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100
Trigo,2017/18,3,XI,100,0,30,55,15,0,15,60,25,0,0,100,100,100,100,100,100
Trigo,2017/18,3,XII,100,0,8,25,67,0,10,60,30,0,0,100,100,100,100,100,100
Trigo,2017/18,21,TOTAL,5,0,20,40,30,10,0,0,54,40,6,0,0,0,0,0,0
Trigo,2017/18,3,I,100,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100
Trigo,2017/18,4,II,100,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100
Trigo,2017/18,4,III,100,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100
Trigo,2017/18,4,IV,100,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100
Trigo,2017/18,4,V,100,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100
Trigo,2017/18,4,VI,100,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100
Trigo,2017/18,4,VII,100,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100
Trigo,2017/18,4,IX,100,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100
Trigo,2017/18,4,X,100,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100
Trigo,2017/18,4,XI,100,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100
Trigo,2017/18,4,XII,100,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100
Trigo,2017/18,22,TOTAL,11,0,5,35,40,20,0,0,57,35,8,0,0,0,0,0,0
Trigo,2017/18,4,I,100,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100
Trigo,2017/18,19,I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trigo,2017/18,19,II,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trigo,2017/18,19,III,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trigo,2017/18,19,IV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trigo,2017/18,19,V,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trigo,2017/18,19,VI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trigo,2017/18,19,VII,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trigo,2017/18,19,IX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trigo,2017/18,19,X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trigo,2017/18,19,XI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trigo,2017/18,19,XII,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trigo,2017/18,23,TOTAL,21,0,0,0,50,50,0,5,55,30,10,0,0,0,0,0,0
Trigo,2017/18,20,II,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trigo,2017/18,20,III,3,0,0,50,50,0,0,50,0,0,50,0,0,0,0,0,0
Trigo,2017/18,20,IV,0,0,0,0,0,100,0,0,70,30,0,0,0,0,0,0,0
